1st,1stLabel,1stDay,2nd,2ndLabel,2ndDay,3rd,3rdLabel,3rdDay,4th,4thLabel,4thDay,5th,5thLabel,5thDay,6th,6thLabel,6thDay,7th,7thLabel,7thDay
16,-2,1,19,0,1,40,2,1,79,0,1,58,0,1,39,-2,0,27,0,0
19,0,1,40,2,1,79,0,1,58,0,1,39,-2,0,27,0,0,35,0,1
40,2,1,79,0,1,58,0,1,39,-2,0,27,0,0,35,0,1,38,0,1
79,0,1,58,0,1,39,-2,0,27,0,0,35,0,1,38,0,1,49,0,1
58,0,1,39,-2,0,27,0,0,35,0,1,38,0,1,49,0,1,39,0,1
39,-2,0,27,0,0,35,0,1,38,0,1,49,0,1,39,0,1,39,1,1
27,0,0,35,0,1,38,0,1,49,0,1,39,0,1,39,1,1,51,-4,0
35,0,1,38,0,1,49,0,1,39,0,1,39,1,1,51,-4,0,57,0,0
38,0,1,49,0,1,39,0,1,39,1,1,51,-4,0,57,0,0,38,-2,1
49,0,1,39,0,1,39,1,1,51,-4,0,57,0,0,38,-2,1,38,0,1
39,0,1,39,1,1,51,-4,0,57,0,0,38,-2,1,38,0,1,50,0,1
39,1,1,51,-4,0,57,0,0,38,-2,1,38,0,1,50,0,1,45,-1,1
51,-4,0,57,0,0,38,-2,1,38,0,1,50,0,1,45,-1,1,56,0,1
57,0,0,38,-2,1,38,0,1,50,0,1,45,-1,1,56,0,1,48,0,0
38,-2,1,38,0,1,50,0,1,45,-1,1,56,0,1,48,0,0,34,-3,0
38,0,1,50,0,1,45,-1,1,56,0,1,48,0,0,34,-3,0,36,-2,1
50,0,1,45,-1,1,56,0,1,48,0,0,34,-3,0,36,-2,1,34,0,1
45,-1,1,56,0,1,48,0,0,34,-3,0,36,-2,1,34,0,1,43,0,1
56,0,1,48,0,0,34,-3,0,36,-2,1,34,0,1,43,0,1,59,0,1
48,0,0,34,-3,0,36,-2,1,34,0,1,43,0,1,59,0,1,49,-2,1
34,-3,0,36,-2,1,34,0,1,43,0,1,59,0,1,49,-2,1,67,-2,0
36,-2,1,34,0,1,43,0,1,59,0,1,49,-2,1,67,-2,0,48,-1,0
34,0,1,43,0,1,59,0,1,49,-2,1,67,-2,0,48,-1,0,17,0,1
43,0,1,59,0,1,49,-2,1,67,-2,0,48,-1,0,17,0,1,46,0,1
59,0,1,49,-2,1,67,-2,0,48,-1,0,17,0,1,46,0,1,51,-1,1
49,-2,1,67,-2,0,48,-1,0,17,0,1,46,0,1,51,-1,1,28,0,1
67,-2,0,48,-1,0,17,0,1,46,0,1,51,-1,1,28,0,1,39,0,1
48,-1,0,17,0,1,46,0,1,51,-1,1,28,0,1,39,0,1,51,0,0
17,0,1,46,0,1,51,-1,1,28,0,1,39,0,1,51,0,0,62,0,0
46,0,1,51,-1,1,28,0,1,39,0,1,51,0,0,62,0,0,42,0,1
51,-1,1,28,0,1,39,0,1,51,0,0,62,0,0,42,0,1,43,0,1
28,0,1,39,0,1,51,0,0,62,0,0,42,0,1,43,0,1,50,0,1
39,0,1,51,0,0,62,0,0,42,0,1,43,0,1,50,0,1,54,0,1
51,0,0,62,0,0,42,0,1,43,0,1,50,0,1,54,0,1,63,0,1
62,0,0,42,0,1,43,0,1,50,0,1,54,0,1,63,0,1,63,0,0
42,0,1,43,0,1,50,0,1,54,0,1,63,0,1,63,0,0,61,0,0
43,0,1,50,0,1,54,0,1,63,0,1,63,0,0,61,0,0,46,0,1
50,0,1,54,0,1,63,0,1,63,0,0,61,0,0,46,0,1,44,0,1
54,0,1,63,0,1,63,0,0,61,0,0,46,0,1,44,0,1,63,-3,1
63,0,1,63,0,0,61,0,0,46,0,1,44,0,1,63,-3,1,49,0,1
63,0,0,61,0,0,46,0,1,44,0,1,63,-3,1,49,0,1,45,0,1
61,0,0,46,0,1,44,0,1,63,-3,1,49,0,1,45,0,1,35,0,0
46,0,1,44,0,1,63,-3,1,49,0,1,45,0,1,35,0,0,44,0,0
44,0,1,63,-3,1,49,0,1,45,0,1,35,0,0,44,0,0,92,0,1
63,-3,1,49,0,1,45,0,1,35,0,0,44,0,0,92,0,1,33,1,1
49,0,1,45,0,1,35,0,0,44,0,0,92,0,1,33,1,1,39,0,1
45,0,1,35,0,0,44,0,0,92,0,1,33,1,1,39,0,1,61,0,1
35,0,0,44,0,0,92,0,1,33,1,1,39,0,1,61,0,1,60,0,1
44,0,0,92,0,1,33,1,1,39,0,1,61,0,1,60,0,1,39,0,0
92,0,1,33,1,1,39,0,1,61,0,1,60,0,1,39,0,0,34,0,0
33,1,1,39,0,1,61,0,1,60,0,1,39,0,0,34,0,0,26,0,1
39,0,1,61,0,1,60,0,1,39,0,0,34,0,0,26,0,1,45,0,1
61,0,1,60,0,1,39,0,0,34,0,0,26,0,1,45,0,1,63,0,1
